Order_ID,Order_Date,Delivery_Date,Customer_Region,Product_Category,Vendor_Name,Courier,Delivery_Status,Delay_Days,Total_Delivery_Days
1,2024-06-04,2024-06-07,East,Clothing,Vendor_B,Bluedart,Delivered,0,3
2,2024-06-04,2024-06-17,North,Appliances,Vendor_D,FedEx,Delayed,10,13
3,2024-01-03,2024-01-07,South,Appliances,Vendor_A,Bluedart,Delayed,1,4
4,2024-06-21,2024-07-04,West,Clothing,Vendor_D,DHL,Delayed,10,13
5,2024-01-25,2024-01-28,West,Furniture,Vendor_C,Bluedart,Delivered,0,3
6,2024-02-25,2024-03-02,North,Electronics,Vendor_D,FedEx,Delayed,3,6
7,2024-03-28,2024-04-03,Central,Furniture,Vendor_A,Delhivery,Delayed,3,6
8,2024-05-04,2024-05-12,North,Appliances,Vendor_C,DHL,Delayed,5,8
9,2024-05-07,2024-05-10,North,Clothing,Vendor_C,FedEx,Delivered,0,3
10,2024-02-28,2024-03-02,West,Furniture,Vendor_D,DHL,Delivered,0,3
11,2024-02-12,2024-02-18,South,Furniture,Vendor_A,Bluedart,Delayed,3,6
12,2024-05-24,2024-05-28,South,Toys,Vendor_D,DHL,Delayed,1,4
13,2024-06-23,2024-07-06,South,Furniture,Vendor_A,Bluedart,Delayed,10,13
14,2024-01-26,2024-02-01,West,Furniture,Vendor_A,Bluedart,Delayed,3,6
15,2024-05-23,2024-05-29,South,Toys,Vendor_D,Delhivery,Delayed,3,6
16,2024-02-09,2024-02-12,South,Appliances,Vendor_C,Delhivery,Delivered,0,3
17,2024-05-13,2024-05-19,South,Clothing,Vendor_D,FedEx,Delayed,3,6
18,2024-01-28,2024-01-31,South,Clothing,Vendor_D,FedEx,Delivered,0,3
19,2024-04-13,2024-04-23,Central,Furniture,Vendor_A,FedEx,Delayed,7,10
20,2024-06-18,2024-06-23,East,Electronics,Vendor_C,Delhivery,Delayed,2,5
21,2024-02-15,2024-02-18,East,Appliances,Vendor_B,FedEx,Delivered,0,3
22,2024-06-10,2024-06-23,Central,Clothing,Vendor_B,DHL,Delayed,10,13
23,2024-02-18,2024-03-02,North,Appliances,Vendor_C,Delhivery,Delayed,10,13
24,2024-01-04,2024-01-10,East,Clothing,Vendor_A,Bluedart,Delayed,3,6
25,2024-05-03,2024-05-06,West,Electronics,Vendor_B,Bluedart,Delivered,0,3
26,2024-06-16,2024-06-29,South,Furniture,Vendor_D,Bluedart,Delayed,10,13
27,2024-05-25,2024-05-29,East,Toys,Vendor_C,Delhivery,Delayed,1,4
28,2024-05-15,2024-05-18,South,Clothing,Vendor_A,DHL,Delivered,0,3
29,2024-01-19,2024-02-01,South,Appliances,Vendor_B,FedEx,Delayed,10,13
30,2024-01-23,2024-01-26,South,Electronics,Vendor_A,DHL,Delivered,0,3
31,2024-01-17,2024-01-21,East,Toys,Vendor_B,Bluedart,Delayed,1,4
32,2024-06-19,2024-06-29,South,Toys,Vendor_D,Bluedart,Delayed,7,10
33,2024-01-04,2024-01-12,East,Toys,Vendor_D,Delhivery,Delayed,5,8
34,2024-06-02,2024-06-05,North,Toys,Vendor_C,FedEx,Delivered,0,3
35,2024-02-07,2024-02-11,Central,Toys,Vendor_B,Delhivery,Delayed,1,4
36,2024-02-09,2024-02-19,South,Electronics,Vendor_D,FedEx,Delayed,7,10
37,2024-01-21,2024-02-03,North,Electronics,Vendor_B,Bluedart,Delayed,10,13
38,2024-04-16,2024-04-26,South,Toys,Vendor_A,Bluedart,Delayed,7,10
39,2024-04-01,2024-04-09,East,Toys,Vendor_C,Delhivery,Delayed,5,8
40,2024-06-24,2024-07-07,West,Clothing,Vendor_B,DHL,Delayed,10,13
41,2024-02-02,2024-02-15,North,Furniture,Vendor_A,FedEx,Delayed,10,13
42,2024-05-16,2024-05-29,Central,Clothing,Vendor_A,FedEx,Delayed,10,13
43,2024-02-03,2024-02-06,South,Toys,Vendor_A,Bluedart,Delivered,0,3
44,2024-05-20,2024-05-23,Central,Electronics,Vendor_D,DHL,Delivered,0,3
45,2024-03-07,2024-03-13,South,Furniture,Vendor_D,Bluedart,Delayed,3,6
46,2024-06-21,2024-06-26,West,Furniture,Vendor_A,FedEx,Delayed,2,5
47,2024-04-20,2024-04-23,North,Appliances,Vendor_B,DHL,Delivered,0,3
48,2024-02-12,2024-02-15,South,Furniture,Vendor_C,Bluedart,Delivered,0,3
49,2024-04-27,2024-05-10,East,Appliances,Vendor_A,DHL,Delayed,10,13
50,2024-06-04,2024-06-07,East,Electronics,Vendor_A,Bluedart,Delivered,0,3
51,2024-03-10,2024-03-14,East,Clothing,Vendor_C,Delhivery,Delayed,1,4
52,2024-03-28,2024-03-31,North,Toys,Vendor_C,FedEx,Delivered,0,3
53,2024-01-11,2024-01-14,East,Clothing,Vendor_D,Delhivery,Delivered,0,3
54,2024-05-01,2024-05-04,North,Clothing,Vendor_A,DHL,Delivered,0,3
55,2024-05-18,2024-05-21,West,Clothing,Vendor_A,DHL,Delivered,0,3
56,2024-03-26,2024-03-29,East,Clothing,Vendor_B,FedEx,Delivered,0,3
57,2024-03-25,2024-04-07,West,Appliances,Vendor_B,Bluedart,Delayed,10,13
58,2024-02-26,2024-02-29,West,Electronics,Vendor_B,DHL,Delivered,0,3
59,2024-04-26,2024-04-30,East,Clothing,Vendor_A,Delhivery,Delayed,1,4
60,2024-01-28,2024-02-07,South,Clothing,Vendor_D,DHL,Delayed,7,10
61,2024-03-27,2024-03-31,South,Electronics,Vendor_B,Delhivery,Delayed,1,4
62,2024-03-09,2024-03-12,East,Furniture,Vendor_D,DHL,Delivered,0,3
63,2024-01-04,2024-01-09,South,Appliances,Vendor_C,FedEx,Delayed,2,5
64,2024-01-20,2024-01-28,East,Furniture,Vendor_D,FedEx,Delayed,5,8
65,2024-04-19,2024-04-23,East,Electronics,Vendor_D,FedEx,Delayed,1,4
66,2024-05-26,2024-06-08,South,Furniture,Vendor_D,FedEx,Delayed,10,13
67,2024-06-11,2024-06-17,North,Furniture,Vendor_C,Delhivery,Delayed,3,6
