Order_ID,Order_Date,Delivery_Date,Customer_Region,Product_Category,Vendor_Name,Courier,Delivery_Status,Delay_Days
1,2024-06-04,2024-06-07,East,Clothing,Vendor_B,Bluedart,Delivered,0
2,2024-06-04,2024-06-17,North,Appliances,Vendor_D,FedEx,Delayed,10
3,2024-01-03,2024-01-07,South,Appliances,Vendor_A,Bluedart,Delayed,1
4,2024-06-21,2024-07-04,West,Clothing,Vendor_D,DHL,Delayed,10
5,2024-01-25,2024-01-28,West,Furniture,Vendor_C,Bluedart,Delivered,0
6,2024-02-25,2024-03-02,North,Electronics,Vendor_D,FedEx,Delayed,3
7,2024-03-28,2024-04-03,Central,Furniture,Vendor_A,Delhivery,Delayed,3
8,2024-05-04,2024-05-12,North,Appliances,Vendor_C,DHL,Delayed,5
9,2024-05-07,2024-05-10,North,Clothing,Vendor_C,FedEx,Delivered,0
10,2024-02-28,2024-03-02,West,Furniture,Vendor_D,DHL,Delivered,0
11,2024-02-12,2024-02-18,South,Furniture,Vendor_A,Bluedart,Delayed,3
12,2024-05-24,2024-05-28,South,Toys,Vendor_D,DHL,Delayed,1
13,2024-06-23,2024-07-06,South,Furniture,Vendor_A,Bluedart,Delayed,10
14,2024-01-26,2024-02-01,West,Furniture,Vendor_A,Bluedart,Delayed,3
15,2024-05-23,2024-05-29,South,Toys,Vendor_D,Delhivery,Delayed,3
16,2024-02-09,2024-02-12,South,Appliances,Vendor_C,Delhivery,Delivered,0
17,2024-05-13,2024-05-19,South,Clothing,Vendor_D,FedEx,Delayed,3
18,2024-01-28,2024-01-31,South,Clothing,Vendor_D,FedEx,Delivered,0
19,2024-04-13,2024-04-23,Central,Furniture,Vendor_A,FedEx,Delayed,7
20,2024-06-18,2024-06-23,East,Electronics,Vendor_C,Delhivery,Delayed,2
21,2024-02-15,2024-02-18,East,Appliances,Vendor_B,FedEx,Delivered,0
22,2024-06-10,2024-06-23,Central,Clothing,Vendor_B,DHL,Delayed,10
23,2024-02-18,2024-03-02,North,Appliances,Vendor_C,Delhivery,Delayed,10
24,2024-01-04,2024-01-10,East,Clothing,Vendor_A,Bluedart,Delayed,3
25,2024-05-03,2024-05-06,West,Electronics,Vendor_B,Bluedart,Delivered,0
26,2024-06-16,2024-06-29,South,Furniture,Vendor_D,Bluedart,Delayed,10
27,2024-05-25,2024-05-29,East,Toys,Vendor_C,Delhivery,Delayed,1
28,2024-05-15,2024-05-18,South,Clothing,Vendor_A,DHL,Delivered,0
29,2024-01-19,2024-02-01,South,Appliances,Vendor_B,FedEx,Delayed,10
30,2024-01-23,2024-01-26,South,Electronics,Vendor_A,DHL,Delivered,0
31,2024-01-17,2024-01-21,East,Toys,Vendor_B,Bluedart,Delayed,1
32,2024-06-19,2024-06-29,South,Toys,Vendor_D,Bluedart,Delayed,7
33,2024-01-04,2024-01-12,East,Toys,Vendor_D,Delhivery,Delayed,5
34,2024-06-02,2024-06-05,North,Toys,Vendor_C,FedEx,Delivered,0
35,2024-02-07,2024-02-11,Central,Toys,Vendor_B,Delhivery,Delayed,1
36,2024-02-09,2024-02-19,South,Electronics,Vendor_D,FedEx,Delayed,7
37,2024-01-21,2024-02-03,North,Electronics,Vendor_B,Bluedart,Delayed,10
38,2024-04-16,2024-04-26,South,Toys,Vendor_A,Bluedart,Delayed,7
39,2024-04-01,2024-04-09,East,Toys,Vendor_C,Delhivery,Delayed,5
40,2024-06-24,2024-07-07,West,Clothing,Vendor_B,DHL,Delayed,10
41,2024-02-02,2024-02-15,North,Furniture,Vendor_A,FedEx,Delayed,10
42,2024-05-16,2024-05-29,Central,Clothing,Vendor_A,FedEx,Delayed,10
43,2024-02-03,2024-02-06,South,Toys,Vendor_A,Bluedart,Delivered,0
44,2024-05-20,2024-05-23,Central,Electronics,Vendor_D,DHL,Delivered,0
45,2024-03-07,2024-03-13,South,Furniture,Vendor_D,Bluedart,Delayed,3
46,2024-06-21,2024-06-26,West,Furniture,Vendor_A,FedEx,Delayed,2
47,2024-04-20,2024-04-23,North,Appliances,Vendor_B,DHL,Delivered,0
48,2024-02-12,2024-02-15,South,Furniture,Vendor_C,Bluedart,Delivered,0
49,2024-04-27,2024-05-10,East,Appliances,Vendor_A,DHL,Delayed,10
50,2024-06-04,2024-06-07,East,Electronics,Vendor_A,Bluedart,Delivered,0
51,2024-03-10,2024-03-14,East,Clothing,Vendor_C,Delhivery,Delayed,1
52,2024-03-28,2024-03-31,North,Toys,Vendor_C,FedEx,Delivered,0
53,2024-01-11,2024-01-14,East,Clothing,Vendor_D,Delhivery,Delivered,0
54,2024-05-01,2024-05-04,North,Clothing,Vendor_A,DHL,Delivered,0
55,2024-05-18,2024-05-21,West,Clothing,Vendor_A,DHL,Delivered,0
56,2024-03-26,2024-03-29,East,Clothing,Vendor_B,FedEx,Delivered,0
57,2024-03-25,2024-04-07,West,Appliances,Vendor_B,Bluedart,Delayed,10
58,2024-02-26,2024-02-29,West,Electronics,Vendor_B,DHL,Delivered,0
59,2024-04-26,2024-04-30,East,Clothing,Vendor_A,Delhivery,Delayed,1
60,2024-01-28,2024-02-07,South,Clothing,Vendor_D,DHL,Delayed,7
61,2024-03-27,2024-03-31,South,Electronics,Vendor_B,Delhivery,Delayed,1
62,2024-03-09,2024-03-12,East,Furniture,Vendor_D,DHL,Delivered,0
63,2024-01-04,2024-01-09,South,Appliances,Vendor_C,FedEx,Delayed,2
64,2024-01-20,2024-01-28,East,Furniture,Vendor_D,FedEx,Delayed,5
65,2024-04-19,2024-04-23,East,Electronics,Vendor_D,FedEx,Delayed,1
66,2024-05-26,2024-06-08,South,Furniture,Vendor_D,FedEx,Delayed,10
67,2024-06-11,2024-06-17,North,Furniture,Vendor_C,Delhivery,Delayed,3
68,2024-03-13,2024-03-18,Central,Clothing,Vendor_B,Delhivery,Delayed,2
69,2024-06-13,2024-06-16,Central,Appliances,Vendor_C,Delhivery,Delivered,0
70,2024-05-27,2024-05-30,East,Furniture,Vendor_B,Delhivery,Delivered,0
71,2024-05-20,2024-05-26,West,Toys,Vendor_D,Bluedart,Delayed,3
72,2024-05-16,2024-05-19,North,Furniture,Vendor_C,FedEx,Delivered,0
73,2024-02-22,2024-02-27,South,Clothing,Vendor_B,FedEx,Delayed,2
74,2024-01-08,2024-01-18,Central,Electronics,Vendor_D,Delhivery,Delayed,7
75,2024-06-19,2024-06-23,West,Toys,Vendor_D,Bluedart,Delayed,1
76,2024-02-21,2024-02-24,North,Toys,Vendor_B,Bluedart,Delivered,0
77,2024-06-17,2024-06-27,North,Appliances,Vendor_B,FedEx,Delayed,7
78,2024-04-05,2024-04-15,Central,Appliances,Vendor_C,Delhivery,Delayed,7
